m,n_team,k,rule,seed,ok,runtime
3,2,2,plurality,0,False,8.079991675913334e-05
3,2,2,plurality,1,True,0.000197600107640028
3,2,2,plurality,2,False,6.409990601241589e-05
3,2,2,plurality,3,False,7.589999586343765e-05
3,2,2,plurality,4,True,0.00013659987598657608
3,2,2,plurality,5,True,0.00017030001617968082
3,2,2,plurality,6,False,5.969987250864506e-05
3,2,2,plurality,7,False,5.75000885874033e-05
3,2,2,plurality,8,False,6.070011295378208e-05
3,2,2,plurality,9,False,5.8999983593821526e-05
3,2,2,plurality,10,False,6.410013884305954e-05
3,2,2,plurality,11,True,0.00021229987032711506
3,2,2,plurality,12,False,6.160000339150429e-05
3,2,2,plurality,13,True,0.00023650005459785461
3,2,2,plurality,14,False,5.929986946284771e-05
3,2,2,plurality,15,True,0.0001330999657511711
3,2,2,plurality,16,False,0.00010029994882643223
3,2,2,plurality,17,True,0.00012870016507804394
3,2,2,plurality,18,False,0.00011020014062523842
3,2,2,plurality,19,False,9.980006143450737e-05
3,2,2,plurality,20,False,6.010010838508606e-05
3,2,2,plurality,21,False,8.239992894232273e-05
3,2,2,plurality,22,True,0.00011769984848797321
3,2,2,plurality,23,False,5.5099837481975555e-05
3,2,2,plurality,24,False,7.160007953643799e-05
3,2,2,plurality,25,False,8.87999776750803e-05
3,2,2,plurality,26,False,5.929986946284771e-05
3,2,2,plurality,27,False,6.84000551700592e-05
3,2,2,plurality,28,False,0.00017779995687305927
3,2,2,plurality,29,False,5.570007488131523e-05
3,2,2,plurality,30,False,8.059991523623466e-05
3,2,2,plurality,31,False,6.0499878600239754e-05
3,2,2,plurality,32,False,6.029987707734108e-05
3,2,2,plurality,33,False,5.9499870985746384e-05
3,2,2,plurality,34,False,5.7900091633200645e-05
3,2,2,plurality,35,False,7.369997911155224e-05
3,2,2,plurality,36,False,6.400002166628838e-05
3,2,2,plurality,37,False,6.269989535212517e-05
3,2,2,plurality,38,True,0.00014150002971291542
3,2,2,plurality,39,False,6.680004298686981e-05
3,2,2,plurality,40,True,0.0001875001471489668
3,2,2,plurality,41,False,6.079999729990959e-05
3,2,2,plurality,42,False,6.059999577701092e-05
3,2,2,plurality,43,False,8.599995635449886e-05
3,2,2,plurality,44,False,8.039991371333599e-05
3,2,2,plurality,45,False,5.450006574392319e-05
3,2,2,plurality,46,True,0.00013240007683634758
3,2,2,plurality,47,False,5.8999983593821526e-05
3,2,2,plurality,48,True,0.00015130010433495045
3,2,2,plurality,49,False,0.00017150002531707287
3,2,2,2-approval,0,False,9.37997829169035e-05
3,2,2,2-approval,1,True,0.00019540009088814259
3,2,2,2-approval,2,False,5.979998968541622e-05
3,2,2,2-approval,3,False,6.440002471208572e-05
3,2,2,2-approval,4,True,0.00015609990805387497
3,2,2,2-approval,5,True,0.00012940005399286747
3,2,2,2-approval,6,False,7.109995931386948e-05
3,2,2,2-approval,7,False,5.759997293353081e-05
3,2,2,2-approval,8,False,5.829986184835434e-05
3,2,2,2-approval,9,False,6.469991058111191e-05
3,2,2,2-approval,10,False,9.04998742043972e-05
3,2,2,2-approval,11,True,0.00015779980458319187
3,2,2,2-approval,12,False,6.059999577701092e-05
3,2,2,2-approval,13,True,0.00012630014680325985
3,2,2,2-approval,14,False,8.599995635449886e-05
3,2,2,2-approval,15,True,0.00016680010594427586
3,2,2,2-approval,16,False,7.95999076217413e-05
3,2,2,2-approval,17,True,0.00015820004045963287
3,2,2,2-approval,18,False,8.25000461190939e-05
3,2,2,2-approval,19,False,7.189996540546417e-05
3,2,2,2-approval,20,False,6.230012513697147e-05
3,2,2,2-approval,21,False,6.0399994254112244e-05
3,2,2,2-approval,22,True,0.00014890008606016636
3,2,2,2-approval,23,False,6.079999729990959e-05
3,2,2,2-approval,24,False,6.489991210401058e-05
3,2,2,2-approval,25,False,6.069988012313843e-05
3,2,2,2-approval,26,False,9.769992902874947e-05
3,2,2,2-approval,27,False,5.679996684193611e-05
3,2,2,2-approval,28,False,0.00017550005577504635
3,2,2,2-approval,29,False,7.519987411797047e-05
3,2,2,2-approval,30,False,7.810001261532307e-05
3,2,2,2-approval,31,False,5.7399971410632133e-05
3,2,2,2-approval,32,False,5.7300087064504623e-05
3,2,2,2-approval,33,False,8.990010246634483e-05
3,2,2,2-approval,34,False,6.38000201433897e-05
3,2,2,2-approval,35,False,7.620011456310749e-05
3,2,2,2-approval,36,False,8.859997615218163e-05
3,2,2,2-approval,37,False,5.859998054802418e-05
